brand,shops,states,cities,shop_types,spellings_seen,carried_by,assessed,verdict,notes
Crossley,1,PA,Wayne,In scope 1,CROSSLEY,Boyds,no,,
Cufflinks Inc,1,PA,State College,Multigender 1,Cufflinks Inc,Harpers,no,,
Cult Gaia,1,NJ,Cape May,Multigender 1,Cult Gaia,Galvanic,no,,
DRKSHDW by Rick Owens,1,PA,Pittsburgh,Multigender 1,DRKSHDW by Rick Owens,TONS,no,,
Dacute,1,PA,Wayne,In scope 1,DACUTE,Boyds,no,,
Daniele Fiesoli,1,PA,Wayne,In scope 1,DANIELE FIESOLI,Boyds,no,,
Danner,1,PA,Philadelphia,Multigender 1,Danner,Totem Brand Co.,no,,
Deborah Grivas Designs,1,PA,State College,Multigender 1,Deborah Grivas Designs,Harpers,no,,
Deejo,1,PA,State College,Multigender 1,Deejo,Harpers,no,,
Deke,1,PA,Pittsburgh,Multigender 1,DEKE,Larrimor's,no,,
Denime,1,PA,Philadelphia,Multigender 1,Denime,Totem Brand Co.,no,,
Dentro,1,PA,Pittsburgh,Multigender 1,Dentro,TONS,no,,
Dents,1,PA,Wayne,In scope 1,DENTS,Boyds,no,,
Derek Rose,1,PA,Wayne,In scope 1,DEREK ROSE,Boyds,no,,
Design History,1,PA,State College,Multigender 1,Design History,Harpers,no,,
Deuter,1,PA,Kennett Square,Multigender 1,Deuter,Trail Creek Outfitters,no,,
Devise Factory,1,PA,Pittsburgh,In scope 1,Devise Factory,Vestis,no,,
Di Chezno,1,PA,Warrendale,Multigender 1,DI CHEZNO,Oxford & Derby,no,,
Dion,1,PA,Wayne,In scope 1,DION,Boyds,no,,
Diptyque,1,PA,Pittsburgh,Multigender 1,Diptyque,TONS,no,,
Dkny,1,PA,Johnstown,In scope 1,DKNY,Millers of Johnstown,no,,
Document,1,PA,Pittsburgh,In scope 1,Document,Vestis,no,,
Dolce Vita,1,PA,Allentown,Multigender 1,Dolce Vita,assembly88,no,,
Dolcepunta,1,PA,Wayne,In scope 1,DOLCEPUNTA,Boyds,no,,
Double Helix,1,PA,Philadelphia,In scope 1,Double Helix,Franklin & Poe,no,,
Double RL,1,NJ,Maplewood,In scope 1,Double RL,City Workshop Men's Supply Co.,no,,
Druthers,1,NJ,Far Hills,In scope 1,Druthers,Hans Clothier,no,,
Dsquared2,1,PA,Pittsburgh,Multigender 1,Dsquared2,Moda,no,,
Dubble Works,1,PA,Philadelphia,Multigender 1,Dubble Works,Totem Brand Co.,no,,
Duke Cannon,1,PA,Wayne,Multigender 1,Duke Cannon,Out There Outfitters,no,,
Duke Cannon Supply Co.,1,NJ,Maplewood,In scope 1,Duke Cannon Supply Co.,City Workshop Men's Supply Co.,no,,
EF Collection,1,PA,Pittsburgh,Multigender 1,EF Collection,Larrimor's,no,,
ENO,1,PA,Philadelphia,Multigender 1,ENO,Totem Brand Co.,no,,
EPT,1,NJ,Asbury Park,Multigender 1,EPT,New Hour Clothing,no,,
Easymoc,1,PA,Philadelphia,In scope 1,Easymoc,Franklin & Poe,no,,
Ebbets Field Flannels,1,PA,Philadelphia,Multigender 1,Ebbets Field Flannels,Totem Brand Co.,no,,
EchoDesign Group,1,PA,State College,Multigender 1,EchoDesign Group,Harpers,no,,
Edmmond Studios,1,NJ,Asbury Park,Multigender 1,Edmmond Studios,New Hour Clothing,no,,
Edward Armah,1,PA,Wayne,In scope 1,EDWARD ARMAH,Boyds,no,,
Edwin Japan,1,NJ,Maplewood,In scope 1,Edwin Japan,City Workshop Men's Supply Co.,no,,
Eileen Fisher,1,PA,Pittsburgh,Multigender 1,Eileen Fisher,Larrimor's,no,,
Elliker,1,PA,Philadelphia,Multigender 1,ELLIKER,Totem Brand Co.,no,,
Elliot Lauren,1,PA,Warrendale,Multigender 1,Elliot Lauren,Oxford & Derby,no,,
Emanuele Maffeis,1,PA,Wayne,In scope 1,EMANUELE MAFFEIS,Boyds,no,,
Empire,1,PA,Newtown Square,In scope 1,Empire,Hassis Men's Shop,no,,
Enfants Riches Déprimés,1,PA,Pittsburgh,Multigender 1,Enfants Riches Déprimés,TONS,no,,
Evolve the Brand,1,NJ,Somerville,Multigender 1,Evolve the Brand,Evolve Clothing Gallery,no,,
FTC,1,PA,Wayne,In scope 1,FTC,Boyds,no,,
Fair Habor,1,PA,Phoenixville,In scope 1,Fair Habor,Weitzenkorn's,no,,
Fairway & Greene,1,PA,State College,Multigender 1,Fairway & Greene,Harpers,no,,
Faizey Leather Goods Ltd.,1,PA,Philadelphia,Multigender 1,Faizey Leather Goods Ltd.,Totem Brand Co.,no,,
Family First,1,PA,Wayne,In scope 1,FAMILY FIRST,Boyds,no,,
Fear of God Essentials,1,PA,Pittsburgh,Multigender 1,Fear of God Essentials,TONS,no,,
FilMelange,1,PA,Pittsburgh,In scope 1,FilMelange,Vestis,no,,
Finamore,1,PA,Wayne,In scope 1,FINAMORE,Boyds,no,,
Finley,1,PA,State College,Multigender 1,Finley,Harpers,no,,
Fioroni,1,PA,Wayne,In scope 1,FIORONI,Boyds,no,,
First Arrow's,1,PA,Philadelphia,In scope 1,First Arrow's,Franklin & Poe,no,,
Fitted Underground,1,NJ,Maplewood,In scope 1,FITTED UNDERGROUND,City Workshop Men's Supply Co.,no,,
Fly3,1,PA,Wayne,In scope 1,FLY3,Boyds,no,,
Foret,1,NJ,Asbury Park,Multigender 1,Foret,New Hour Clothing,no,,
Formulary 55,1,PA,Philadelphia,Multigender 1,Formulary 55,Totem Brand Co.,no,,
Forsyth of Canada,1,PA,Pittsburgh,In scope 1,Forsyth of Canada,Heinz Healey's,no,,
Fradi,1,PA,Wayne,In scope 1,FRADI,Boyds,no,,
Frank & Eileen,1,PA,Pittsburgh,Multigender 1,Frank & Eileen,Larrimor's,no,,
Franklin & Poe,1,PA,Philadelphia,In scope 1,Franklin & Poe,Franklin & Poe,no,,
Fray,1,PA,Wayne,In scope 1,FRAY,Boyds,no,,
Fresco,1,PA,Pittsburgh,In scope 1,Fresco,Heinz Healey's,no,,
G-Shock,1,NJ,Somerville,Multigender 1,G-Shock,Evolve Clothing Gallery,no,,
G-Star Raw,1,NJ,Somerville,Multigender 1,G-Star Raw,Evolve Clothing Gallery,no,,
GRP,1,PA,Pittsburgh,In scope 1,GRP,Vestis,no,,
Gabor,1,PA,Warrendale,Multigender 1,Gabor,Oxford & Derby,no,,
Gala Slacks,1,PA,Pittsburgh,In scope 1,Gala Slacks,Heinz Healey's,no,,
Gallia,1,PA,Wayne,In scope 1,GALLIA,Boyds,no,,
Gameday Couture,1,PA,State College,Multigender 1,Gameday Couture,Harpers,no,,
Gameday Social,1,PA,State College,Multigender 1,Gameday Social,Harpers,no,,
Garmin,1,PA,Kennett Square,Multigender 1,Garmin,Trail Creek Outfitters,no,,
Gavazzeni,1,PA,Pittsburgh,Multigender 1,Gavazzeni,Larrimor's,no,,
Geier Glove Co.,1,PA,Philadelphia,Multigender 1,Geier Glove Co.,Totem Brand Co.,no,,
Gentleman's Hardware,1,PA,State College,Multigender 1,Gentleman's Hardware,Harpers,no,,
Gerald,1,PA,Wayne,In scope 1,GERALD,Boyds,no,,
Gerber,1,PA,Philadelphia,Multigender 1,Gerber,Totem Brand Co.,no,,
Ghrd,1,PA,Wayne,In scope 1,GHRD,Boyds,no,,
Giannetto Portofino,1,PA,Wayne,In scope 1,GIANNETTO PORTOFINO,Boyds,no,,
Giles & Jasper,1,PA,Johnstown,In scope 1,Giles & Jasper,Millers of Johnstown,no,,
Gimos,1,PA,Wayne,In scope 1,GIMOS,Boyds,no,,
Gitman Vintage,1,PA,Pittsburgh,In scope 1,Gitman Vintage,Vestis,no,,
Gmf 965,1,PA,Wayne,In scope 1,GMF 965,Boyds,no,,
Good Man Brand,1,PA,Phoenixville,In scope 1,Good Man Brand,Weitzenkorn's,no,,
Goodr,1,PA,Wayne,Multigender 1,Goodr,Out There Outfitters,no,,
Gramicci,1,PA,Philadelphia,Multigender 1,Gramicci,Totem Brand Co.,no,,
Graph Zero,1,PA,Philadelphia,Multigender 1,Graph Zero,Totem Brand Co.,no,,
Grayers,1,PA,Phoenixville,In scope 1,Grayers,Weitzenkorn's,no,,
Great American,1,PA,State College,Multigender 1,Great American,Harpers,no,,
Greyson,1,NJ,Far Hills,In scope 1,Greyson,Hans Clothier,yes,add,golf direction; seen in person at a South Shore boutique
Greyson Clothiers,1,PA,State College,Multigender 1,Greyson Clothiers,Harpers,no,,
GrowlerWerks,1,PA,Phoenixville,In scope 1,GrowlerWerks,Weitzenkorn's,no,,
Guglielminotti,1,PA,Wayne,In scope 1,GUGLIELMINOTTI,Boyds,no,,
H. Freeman,1,PA,Newtown Square,In scope 1,H. Freeman,Hassis Men's Shop,no,,
Hagen Clothing,1,PA,Newtown Square,In scope 1,Hagen Clothing,Hassis Men's Shop,no,,
Hamilton Shirts,1,PA,Wayne,In scope 1,HAMILTON SHIRTS,Boyds,no,,
Hammitt Los Angeles,1,PA,Pittsburgh,Multigender 1,Hammitt Los Angeles,Larrimor's,no,,
Hansen Garments,1,PA,Philadelphia,In scope 1,Hansen Garments,Franklin & Poe,no,,
Harago,1,PA,Pittsburgh,In scope 1,Harago,Vestis,no,,
Hari Mari,1,NJ,Far Hills,In scope 1,Hari Mari,Hans Clothier,no,,
Harmony,1,PA,Ligonier,In scope 1,Harmony,Post & Rail Men's Shop,no,,
Harpers,1,PA,State College,Multigender 1,Harpers,Harpers,no,,
Heimat Textil,1,PA,Philadelphia,In scope 1,Heimat Textil,Franklin & Poe,no,,
Helinox,1,PA,Philadelphia,Multigender 1,Helinox,Totem Brand Co.,no,,
Heliot Emil,1,PA,Pittsburgh,Multigender 1,Heliot Emil,TONS,no,,
Hellstar,1,PA,Pittsburgh,Multigender 1,HELLSTAR,TONS,no,,
Helly Hansen,1,PA,Wayne,Multigender 1,Helly Hansen,Out There Outfitters,no,,
Helmut Lang,1,PA,Pittsburgh,Multigender 2,Helmut Lang Men's;Helmut Lang Women's,Moda,no,,
Hemen Biarritz,1,PA,Philadelphia,In scope 1,Hemen Biarritz,Franklin & Poe,no,,
Henri Lepore Dezert Shoes,1,PA,Pittsburgh,Multigender 1,Henri Lepore Dezert Shoes,Larrimor's,no,,
Heritage 34,1,PA,Malvern,In scope 1,Heritage 34,Englund's Apparel for Men,no,,
Heritage Gear,1,PA,State College,Multigender 1,Heritage Gear,Harpers,no,,
Heritage Gold,1,PA,Newtown Square,In scope 1,Heritage Gold,Hassis Men's Shop,no,,
Hickey Freeman (Heritage Gold),1,PA,Pittsburgh,Multigender 1,Hickey Freeman (Heritage Gold),Larrimor's,no,,
Hidden Forts,1,NJ,Maplewood,In scope 1,Hidden Forts,City Workshop Men's Supply Co.,no,,
Higonokami,1,PA,Philadelphia,Multigender 1,Higonokami,Totem Brand Co.,no,,
Hiltl,1,PA,Wayne,In scope 1,HILTL,Boyds,no,,
Himalayan Handmade Candles,1,PA,Philadelphia,Multigender 1,Himalayan Handmade Candles,Totem Brand Co.,no,,
Hinson Wu,1,PA,Pittsburgh,Multigender 1,Hinson Wu,Larrimor's,no,,
Hispanitas,1,PA,Warrendale,Multigender 1,HISPANITAS,Oxford & Derby,no,,
