brand,shops,states,cities,shop_types,spellings_seen,carried_by,assessed,verdict,notes
John Lofgren Bootmaker,1,PA,Philadelphia,In scope 1,John Lofgren Bootmaker,Franklin & Poe,no,,
Johnny Was,1,PA,State College,Multigender 1,Johnny Was,Harpers,no,,
Johnson & Murphy,1,PA,Pittsburgh,In scope 1,Johnson & Murphy,Heinz Healey's,no,,
Johnston & Murphy Shoes,1,PA,Pittsburgh,Multigender 1,Johnston & Murphy Shoes,Larrimor's,no,,
Joseph Ribkoff,1,PA,State College,Multigender 1,Joseph Ribkoff,Harpers,no,,
Joshua Ellis,1,PA,Warrendale,Multigender 1,Joshua Ellis,Oxford & Derby,no,,
Jude Connally,1,PA,State College,Multigender 1,Jude Connally,Harpers,no,,
Juncal Aguirre,1,PA,Warrendale,Multigender 1,Juncal Aguirre,Oxford & Derby,no,,
Jungmaven,1,PA,Pittsburgh,In scope 1,Jungmaven,Vestis,no,,
Just Cavalli,1,PA,Pittsburgh,Multigender 1,Just Cavalli,Moda,no,,
Kari Traa,1,PA,Wayne,Multigender 1,Kari Traa,Out There Outfitters,no,,
Katin,1,PA,Wayne,Multigender 1,Katin,Out There Outfitters,no,,
Kelty,1,PA,Kennett Square,Multigender 1,Kelty,Trail Creek Outfitters,no,,
Kershaw,1,PA,Philadelphia,Multigender 1,Kershaw,Totem Brand Co.,no,,
Kestin,1,NJ,Asbury Park,Multigender 1,Kestin,New Hour Clothing,no,,
Kids of Immigrants,1,NJ,Somerville,Multigender 1,Kids of Immigrants,Evolve Clothing Gallery,no,,
Kleid,1,PA,Philadelphia,Multigender 1,Kleid,Totem Brand Co.,no,,
Knockaround,1,PA,Wayne,Multigender 1,Knockaround,Out There Outfitters,no,,
Knwls,1,PA,Pittsburgh,Multigender 1,KNWLS,TONS,no,,
Krimson Klover,1,PA,Warrendale,Multigender 1,Krimson Klover,Oxford & Derby,no,,
Kyle Cavan,1,PA,State College,Multigender 1,Kyle Cavan,Harpers,no,,
L'Agence,1,PA,Pittsburgh,Multigender 1,L'Agence,Larrimor's,no,,
L.L.Bean,1,PA,Philadelphia,Multigender 1,L.L.Bean,Totem Brand Co.,no,,
La Sportiva,1,PA,Kennett Square,Multigender 1,La Sportiva,Trail Creek Outfitters,no,,
Laconic,1,PA,Philadelphia,Multigender 1,Laconic,Totem Brand Co.,no,,
Lady White Co.,1,PA,Philadelphia,Multigender 1,Lady White Co.,Totem Brand Co.,no,,
Larrimor's,1,PA,Pittsburgh,Multigender 1,Larrimor's,Larrimor's,no,,
Laulhère,1,PA,Philadelphia,Multigender 1,Laulhère,Totem Brand Co.,no,,
Le Bon Shoppe,1,PA,Philadelphia,Multigender 1,Le Bon Shoppe,Totem Brand Co.,no,,
Le Mont Saint Michel,1,PA,Pittsburgh,In scope 1,Le Mont Saint Michel,Vestis,no,,
League,1,PA,State College,Multigender 1,League,Harpers,no,,
Lee Denim,1,NJ,Maplewood,In scope 1,Lee Denim,City Workshop Men's Supply Co.,no,,
Left Field NYC,1,NJ,Maplewood,In scope 1,Left Field NYC,City Workshop Men's Supply Co.,no,,
Legacy,1,PA,State College,Multigender 1,Legacy,Harpers,no,,
