brand,tee_low,tee_low_product,tee_low_url,tee_high,tee_high_product,tee_high_url,tee_basis,polo_low,polo_low_product,polo_low_url,polo_high,polo_high_product,polo_high_url,polo_basis,dress_shirt_low,dress_shirt_low_product,dress_shirt_low_url,dress_shirt_high,dress_shirt_high_product,dress_shirt_high_url,dress_shirt_basis,jeans_low,jeans_low_product,jeans_low_url,jeans_high,jeans_high_product,jeans_high_url,jeans_basis,dress_pants_low,dress_pants_low_product,dress_pants_low_url,dress_pants_high,dress_pants_high_product,dress_pants_high_url,dress_pants_basis,sweater_low,sweater_low_product,sweater_low_url,sweater_high,sweater_high_product,sweater_high_url,sweater_basis,outerwear_low,outerwear_low_product,outerwear_low_url,outerwear_high,outerwear_high_product,outerwear_high_url,outerwear_basis,shoes_low,shoes_low_product,shoes_low_url,shoes_high,shoes_high_product,shoes_high_url,shoes_basis,store_used,currency,search_url,sublines_included,status,read_date,source,note
J.Lindeberg,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,www.jlindebergusa.com,NC,https://www.jlindebergusa.com/search?q=,NC,NC,NC,NC,NC
TravisMathew,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,travismathew.com,NC,https://www.travismathew.com/search?q=,NC,NC,NC,NC,NC
Malbon,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,malbon.com,NC,https://malbon.com/search?q=,NC,NC,NC,NC,NC
Redvanly,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,redvanly.com,NC,https://www.redvanly.com/search?q=,NC,NC,NC,NC,NC
RLX,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,ralphlauren.com,NC,https://www.ralphlauren.com/search?q=,NC,NC,NC,NC,NC
johnnie-O,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,johnnie-o.com,NC,https://www.johnnie-o.com/search?q=,NC,NC,NC,NC,NC
Percival,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,percivalclo.com,NC,https://www.percivalclo.com/search?q=,NC,NC,NC,NC,NC
Wax London,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,waxlondon.com,NC,https://www.waxlondon.com/search?q=,NC,NC,NC,NC,NC
Hiroshi Kato,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,kato-brand.com,NC,NC,NC,NC,NC,NC,NC
Sugar Cane,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,sugarcane.jp,NC,https://www.selfedge.com/sugar-cane?q=,NC,NC,NC,NC,NC
